Title,Link,Snippet,Date Published,Keyword,Country,Date From,Date To,cosine_similarity,total_sum
DEFINING “FAKE NEWS” A typology of scholarly definitions. A ...,https://edisciplinas.usp.br/pluginfile.php/4948550/mod_resource/content/1/Fake%20News%20Digital%20Journalism%20-%20Tandoc.pdf,"Aug 30, 2017 ... At the same time, news is socially constructed, and journalists often exercise sub- jective judgment on which bits of information to include and which to ...",,misinformation,China,30/8/17,31/8/17,0.47865716,243
Exclusion of Wrongfully Obtained Evidence: A Comparative Analysis,https://law.nus.edu.sg/wp-content/uploads/2020/04/014_2017-Ho-Hock-Lai.pdf,"Sep 10, 2017 ... The power of exclusion lies with the court and ... [b]y its laws to defend and ... later, the introduction of exclusionary rules in China was, on one account, ...",,misinformation,China,9/9/17,10/9/17,0.39923537,244
Exclusion of Wrongfully Obtained Evidence: A Comparative Analysis,https://law.nus.edu.sg/wp-content/uploads/2020/04/014_2017-Ho-Hock-Lai.pdf,"Sep 10, 2017 ... The power of exclusion lies with the court and ... [b]y its laws to defend and ... later, the introduction of exclusionary rules in China was, on one account, ...",,misinformation,China,10/9/17,11/9/17,0.39923537,245
Increasing transparency in government,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?referer=&httpsredir=1&article=3583&context=soss_research,"Oct 13, 2017 ... One major question-mark for the future is China. China ... the Bank do its job better lies the moral issue discussed above. ... The Britain Joint Stock Companies ...",,misinformation,China,12/10/17,13/10/17,0.36146492,246
Increasing transparency in government,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?referer=&httpsredir=1&article=3583&context=soss_research,"Oct 13, 2017 ... One major question-mark for the future is China. China ... the Bank do its job better lies the moral issue discussed above. ... The Britain Joint Stock Companies ...",,misinformation,China,13/10/17,14/10/17,0.36146492,247
"Soviet Subversion, Disinformation and Propaganda: How the West ...",https://www.lse.ac.uk/iga/assets/documents/arena/2018/Jigsaw-Soviet-Subversion-Disinformation-and-Propaganda-Final-Report.pdf,"Oct 15, 2017 ... Many whistle-blowers can never work easily in Russian media again; their safety may be threatened as well. They may also have legal problems. A legal fund to ...",,misinformation,China,14/10/17,15/10/17,0.38286906,248
"Soviet Subversion, Disinformation and Propaganda: How the West ...",https://www.lse.ac.uk/iga/assets/documents/arena/2018/Jigsaw-Soviet-Subversion-Disinformation-and-Propaganda-Final-Report.pdf,"Oct 15, 2017 ... Many whistle-blowers can never work easily in Russian media again; their safety may be threatened as well. They may also have legal problems. A legal fund to ...",,misinformation,China,15/10/17,16/10/17,0.38286906,249
Tackling online VAT fraud and error,https://publications.parliament.uk/pa/cm201719/cmselect/cmpubacc/312/312.pdf,"Oct 18, 2017 ... These fulfilment warehouses are where you seem to think the major problem lies. What would be wrong with making it a legal obligation to have to register those ...",,misinformation,China,17/10/17,18/10/17,0.33256674,250
The Future of Truth and Misinformation Online,https://www.pewresearch.org/internet/wp-content/uploads/sites/9/2017/10/PI_2017.10.19_Future-of-Truth-and-Misinformation_FINAL.pdf,"Oct 19, 2017 ... environment (depending on country and their regulation, i.e., China, Europe, North Korea,. U.S., etc.).” Sebastian Benthall, junior research scientist, New ...",,misinformation,China,18/10/17,19/10/17,0.6133911,251
Tackling online VAT fraud and error,https://publications.parliament.uk/pa/cm201719/cmselect/cmpubacc/312/312.pdf,"Oct 18, 2017 ... These fulfilment warehouses are where you seem to think the major problem lies. What would be wrong with making it a legal obligation to have to register those ...",,misinformation,China,18/10/17,19/10/17,0.33256674,252
The Future of Truth and Misinformation Online,https://www.pewresearch.org/internet/wp-content/uploads/sites/9/2017/10/PI_2017.10.19_Future-of-Truth-and-Misinformation_FINAL.pdf,"Oct 19, 2017 ... environment (depending on country and their regulation, i.e., China, Europe, North Korea,. U.S., etc.).” Sebastian Benthall, junior research scientist, New ...",,misinformation,China,19/10/17,20/10/17,0.6133911,253
Attributing Acts of Omission to the State,https://repository.law.umich.edu/cgi/viewcontent.cgi?referer=&httpsredir=1&article=1646&context=mjil,"Oct 23, 2017 ... ginning in Roman law between the law of persons and the law of ... 2°° China's responsibility for acts or omission ... The Court of Justice of the European ...",,misinformation,China,23/10/17,24/10/17,0.32086158,254
Truth Decay: An Initial Exploration of the Diminishing Role of Facts ...,https://www.rand.org/content/dam/rand/pubs/research_reports/RR2300/RR2314/RAND_RR2314.pdf,"Nov 1, 2017 ... laws to limit immigration, including the 1882 Chinese Exclusion Act ... • What legal or legislative changes could ... misinformation, Russia, China, effectiveness,.",,misinformation,China,31/10/17,1/11/17,0.31846917,255
Truth Decay: An Initial Exploration of the Diminishing Role of Facts ...,https://www.rand.org/content/dam/rand/pubs/research_reports/RR2300/RR2314/RAND_RR2314.pdf,"Nov 1, 2017 ... laws to limit immigration, including the 1882 Chinese Exclusion Act ... • What legal or legislative changes could ... misinformation, Russia, China, effectiveness,.",,misinformation,China,1/11/17,2/11/17,0.31846917,256
FATF Guidance - Private Sector Information Sharing,https://www.fatf-gafi.org/content/dam/fatf-gafi/reports/Private-Sector-Information-Sharing.pdf.coredownload.pdf,"Nov 3, 2017 ... proceeds of a criminal activity, or are related to terrorist financing, it should be required, by law, to report promptly its suspicions to the financial ...",,misinformation,China,2/11/17,3/11/17,0.33339724,257
FATF Guidance - Private Sector Information Sharing,https://www.fatf-gafi.org/content/dam/fatf-gafi/reports/Private-Sector-Information-Sharing.pdf.coredownload.pdf,"Nov 3, 2017 ... proceeds of a criminal activity, or are related to terrorist financing, it should be required, by law, to report promptly its suspicions to the financial ...",,misinformation,China,3/11/17,4/11/17,0.33339724,258
"Fake news, conspiracy theories, and lies: an information laundering ...",https://www.hsdl.org/c/view?docid=811312,"Nov 7, 2017 ... The information was so widespread that it even reached official law enforcement, public safety, and homeland security channels as a potential threat. Further, ...",,misinformation,China,6/11/17,7/11/17,0.42979506,259
"Fake news, conspiracy theories, and lies: an information laundering ...",https://www.hsdl.org/c/view?docid=811312,"Nov 7, 2017 ... The information was so widespread that it even reached official law enforcement, public safety, and homeland security channels as a potential threat. Further, ...",,misinformation,China,7/11/17,8/11/17,0.42979506,260
Government Accountability,https://digitalcommons.law.villanova.edu/cgi/viewcontent.cgi?article=1418&context=vlr,"Nov 12, 2017 ... It has been accepted for inclusion in Villanova Law Review by an authorized editor of Villanova University Charles Widger School of Law Digital Repository. Page ...",,misinformation,China,12/11/17,13/11/17,0.34164476,261
Countering Terrorist Narratives,https://www.europarl.europa.eu/RegData/etudes/STUD/2017/596829/IPOL_STU(2017)596829_EN.pdf,"Nov 14, 2017 ... ... law and UN ... UAE, the Netherlands, and China, as well as the EU in an informal environment to act on ... Disinformation Act,” First. Amendment Studies ...",,misinformation,China,13/11/17,14/11/17,0.31491014,262
Introducing More IFRS Principles of Disclosures – Will the Poor ...,https://www.ifrs.org/-/media/feature/events-and-conferences/2017/november/disclosures.pdf?la=en&hash=9B5DBA490EDD7B7E1A1DF7E386DCFA62E280178E,"Nov 17, 2017 ... Failure of auditors: the lack of compliance for business combinations in China. Regulation & Governance, 8(3), 310–331. Tauringana, V., & Chithambo, L. (2016) ...",,misinformation,China,16/11/17,17/11/17,0.3928733,263
Introducing More IFRS Principles of Disclosures – Will the Poor ...,https://www.ifrs.org/-/media/feature/events-and-conferences/2017/november/disclosures.pdf?la=en&hash=9B5DBA490EDD7B7E1A1DF7E386DCFA62E280178E,"Nov 17, 2017 ... Failure of auditors: the lack of compliance for business combinations in China. Regulation & Governance, 8(3), 310–331. Tauringana, V., & Chithambo, L. (2016) ...",,misinformation,China,17/11/17,18/11/17,0.3928733,264
SECTION 5: CHINA'S DOMESTIC INFORMATION CONTROLS ...,https://www.uscc.gov/sites/default/files/2019-10/Chapter%203%2C%20Section%205%20-%20China%27s%20Domestic%20Information%20Controls%2C%20Global%20Media%20Influence%2C%20and%20Cyber%20Diplomacy_0_0.pdf,"Nov 20, 2017 ... Notice of Penal Judgment, China Judgments Online, April 25, 2017. ... China, a growing China, a noncontroversial view of China ... refute foreign misinformation and ...",,misinformation,China,20/11/17,21/11/17,0.31708962,265
2017-foreign-policy-white-paper.pdf,https://www.dfat.gov.au/sites/default/files/2017-foreign-policy-white-paper.pdf,"Nov 23, 2017 ... Over time, bringing China and the. United States together in a region-wide free trade agreement would reduce economic tension and help maximise regional ...",,misinformation,China,22/11/17,23/11/17,0.32812366,266
2017-foreign-policy-white-paper.pdf,https://www.dfat.gov.au/sites/default/files/2017-foreign-policy-white-paper.pdf,"Nov 23, 2017 ... Over time, bringing China and the. United States together in a region-wide free trade agreement would reduce economic tension and help maximise regional ...",,misinformation,China,23/11/17,24/11/17,0.32812366,267
Managing the risks of corporate fraud: The evidence from Hong ...,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=4713&context=sol_research,"Nov 28, 2017 ... Chinese Firms in Singapore' (Centre for Banking and Finance Law, 6 February 2014). <https://law.nus.edu.sg/cbfl/pdfs/working_papers/Peh%20Zu%20Hao%20Working% ...",,misinformation,China,27/11/17,28/11/17,0.3736427,268
Managing the risks of corporate fraud: The evidence from Hong ...,https://ink.library.smu.edu.sg/cgi/viewcontent.cgi?article=4713&context=sol_research,"Nov 28, 2017 ... Chinese Firms in Singapore' (Centre for Banking and Finance Law, 6 February 2014). <https://law.nus.edu.sg/cbfl/pdfs/working_papers/Peh%20Zu%20Hao%20Working% ...",,misinformation,China,28/11/17,29/11/17,0.3736427,269
IS “FAKE NEWS” A COMPETITIVE PROBLEM?,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3093547_code659254.pdf?abstractid=3093547&mirid=1,"Dec 19, 2017 ... It is against this background that we turn to the question whether fake news is a competitive problem and, if so, whether antitrust law has any relevance.",,misinformation,China,18/12/17,19/12/17,0.4620601,270
IS “FAKE NEWS” A COMPETITIVE PROBLEM?,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3093547_code659254.pdf?abstractid=3093547&mirid=1,"Dec 19, 2017 ... It is against this background that we turn to the question whether fake news is a competitive problem and, if so, whether antitrust law has any relevance.",,misinformation,China,19/12/17,20/12/17,0.4620601,271
Campaigning,https://jfsc.ndu.edu/Portals/72/Documents/campaigning/Campaigning%20Fall%202017%20FINAL.pdf,"Dec 23, 2017 ... However, without direction from the NSC, or Congress rewriting laws, these organizations will continue to be ad hoc. For there to be a lasting solution, ...",,misinformation,China,22/12/17,23/12/17,0.3047886,272
Campaigning,https://jfsc.ndu.edu/Portals/72/Documents/campaigning/Campaigning%20Fall%202017%20FINAL.pdf,"Dec 23, 2017 ... However, without direction from the NSC, or Congress rewriting laws, these organizations will continue to be ad hoc. For there to be a lasting solution, ...",,misinformation,China,23/12/17,24/12/17,0.3047886,273
Counterterrorism and Preventive Repression,https://scholar.archive.org/work/ctyik2amszg3fldjcxaeplkxku/access/wayback/https://watermark.silverchair.com/isec_a_00368.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAr4wggK6BgkqhkiG9w0BBwagggKrMIICpwIBADCCAqAGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMZvdYd0MwQTUegHZLAgEQgIICccJuBcyNLqzco0M5fzyTtR4Feyi_XcaS-_H1T_Oo63cM76SMhXgumW3LiWSQT0mBFqKLr3xFM9F1mY5C-IQmHSz5T5dRwDtTIO0DtYxZ3SHwYRtC3-wjWKcQrpymmIBtwQo15gcEEwe8234GcP855Yt_lA23XdqFwk1WVXEG54TCBvNgoy_WeHHeHQzyvhQWDQG0sjlADUoSqdYeYNX9sfQAsm2hXBPVQXg0WzlyroUMZwjaZhm_hC4S32DPzd8NSrBPJcYiOzCUBvNWDqmalTcBSQzhe0aOCbEmV2pYStjsGJpqZCibcKNT7DrUVA4lPscmLorXvaw4IZ_tVpXA9jakEVFSGD40Y7N8cZMfqLS957wn8FaCPI8vLHaU-vHCaHFh_cI9lbjVcZxp4n3BQ0w9SAO0LhXEC5TylMvz0rOFfvCtYQfOxzfdIQUrrGYp6jiBFtGM-aFvkfUfDk4-8xbs8EwvsyY9_rhuFgR0y_kIxLBEtfUHu-Tv1G7MAUnrRkJD2W_HXApEQvxoqB8lvHcYqllDnAtEoOduFVvk8cNrBlaTUMumijq5StnksQKOAr9W2c0HnPrurUozQIRhYQm5d3yyBsMX8OZAWhXorR94gfHUOtoxHLJGr5nJRvrofn3Lzk7sB9M4xnvq6Mq5zuNKZzJjytpc2QrrXe9zobrlJ5jK0j8kijiJAmkDV24k6B_94uy_8wghCDznhXcxn6Z6YVtTxokvc09wVgBlSFEBSUZ4i1UQo2U1xAxbCnWbLMIZLiBbCxa3vmUZTJ0APOUFmlS0G5NPfHJNQXXq5tVqOjQX_3Vd4qnmp0RXy7nKwjM,"Dec 27, 2017 ... ... Law': China's Legal Efforts against. Terrorism ... shift lies beyond Chen's individual preferences or leadership. ... Chinese com- munist lackeys” and promised ...",,misinformation,China,26/12/17,27/12/17,0.33501336,274
Counterterrorism and Preventive Repression,https://scholar.archive.org/work/ctyik2amszg3fldjcxaeplkxku/access/wayback/https://watermark.silverchair.com/isec_a_00368.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAr4wggK6BgkqhkiG9w0BBwagggKrMIICpwIBADCCAqAGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMZvdYd0MwQTUegHZLAgEQgIICccJuBcyNLqzco0M5fzyTtR4Feyi_XcaS-_H1T_Oo63cM76SMhXgumW3LiWSQT0mBFqKLr3xFM9F1mY5C-IQmHSz5T5dRwDtTIO0DtYxZ3SHwYRtC3-wjWKcQrpymmIBtwQo15gcEEwe8234GcP855Yt_lA23XdqFwk1WVXEG54TCBvNgoy_WeHHeHQzyvhQWDQG0sjlADUoSqdYeYNX9sfQAsm2hXBPVQXg0WzlyroUMZwjaZhm_hC4S32DPzd8NSrBPJcYiOzCUBvNWDqmalTcBSQzhe0aOCbEmV2pYStjsGJpqZCibcKNT7DrUVA4lPscmLorXvaw4IZ_tVpXA9jakEVFSGD40Y7N8cZMfqLS957wn8FaCPI8vLHaU-vHCaHFh_cI9lbjVcZxp4n3BQ0w9SAO0LhXEC5TylMvz0rOFfvCtYQfOxzfdIQUrrGYp6jiBFtGM-aFvkfUfDk4-8xbs8EwvsyY9_rhuFgR0y_kIxLBEtfUHu-Tv1G7MAUnrRkJD2W_HXApEQvxoqB8lvHcYqllDnAtEoOduFVvk8cNrBlaTUMumijq5StnksQKOAr9W2c0HnPrurUozQIRhYQm5d3yyBsMX8OZAWhXorR94gfHUOtoxHLJGr5nJRvrofn3Lzk7sB9M4xnvq6Mq5zuNKZzJjytpc2QrrXe9zobrlJ5jK0j8kijiJAmkDV24k6B_94uy_8wghCDznhXcxn6Z6YVtTxokvc09wVgBlSFEBSUZ4i1UQo2U1xAxbCnWbLMIZLiBbCxa3vmUZTJ0APOUFmlS0G5NPfHJNQXXq5tVqOjQX_3Vd4qnmp0RXy7nKwjM,"Dec 27, 2017 ... ... Law': China's Legal Efforts against. Terrorism ... shift lies beyond Chen's individual preferences or leadership. ... Chinese com- munist lackeys” and promised ...",,misinformation,China,27/12/17,28/12/17,0.33501336,275
Cyber campaigns and strategic outcomes,https://www.tandfonline.com/doi/pdf/10.1080/01402390.2020.1732354,"Dec 30, 2017 ... important legal connotations for calling certain cases a 'cyberattack'. There are equally important connections for computer security experts between 'hack' and ...",,misinformation,China,29/12/17,30/12/17,0.32631567,276
Cyber campaigns and strategic outcomes,https://www.tandfonline.com/doi/pdf/10.1080/01402390.2020.1732354,"Dec 30, 2017 ... important legal connotations for calling certain cases a 'cyberattack'. There are equally important connections for computer security experts between 'hack' and ...",,misinformation,China,30/12/17,31/12/17,0.32631567,277
"Data, algorithms and policies: Redefining the digital world",https://repositorio.cepal.org/bitstream/handle/11362/43515/4/S1800052_en.pdf,"Jan 3, 2018 ... ... China in contrast, where regulation continues to ... lies in the contributions it makes to the digitization of manufacturing. ... based on examples rather than ...",,misinformation,China,2/1/18,3/1/18,0.34475502,278
The Impact of Media Censorship: Evidence from a Field Experiment ...,https://stanford.edu/~dyang1/pdfs/1984bravenewworld_draft.pdf,"Jan 4, 2018 ... ... China. 2.1 The Great Firewall. The administrative regulations and legal framework in China ensure that media outlets based domestically would incur severe ...",,misinformation,China,3/1/18,4/1/18,0.31988534,279
"Data, algorithms and policies: Redefining the digital world",https://repositorio.cepal.org/bitstream/handle/11362/43515/4/S1800052_en.pdf,"Jan 3, 2018 ... ... China in contrast, where regulation continues to ... lies in the contributions it makes to the digitization of manufacturing. ... based on examples rather than ...",,misinformation,China,3/1/18,4/1/18,0.34475502,280
The Impact of Media Censorship: Evidence from a Field Experiment ...,https://stanford.edu/~dyang1/pdfs/1984bravenewworld_draft.pdf,"Jan 4, 2018 ... ... China. 2.1 The Great Firewall. The administrative regulations and legal framework in China ensure that media outlets based domestically would incur severe ...",,misinformation,China,4/1/18,5/1/18,0.31988534,281
Modeling and Measuring Expressed (Dis)belief in (Mis)information,https://ojs.aaai.org/index.php/ICWSM/article/download/7302/7156/10532,"Jan 9, 2018 ... 3.1 Collecting Comments on Misinformation ... China tariffs. Executing babies 1. Executing babies ... Third person effects of fake news: Fake news regulation and ...",,misinformation,China,8/1/18,9/1/18,0.47492763,282
The Straw Man of Legal Positivism,https://scholarship.law.nd.edu/cgi/viewcontent.cgi?article=1902&context=law_faculty_scholarship,"Jan 13, 2018 ... Wu, a law professor from China who became a ... ""Behind the logical form [of a judicial decision] lies a judgment as to ... Positive law contrary to natural law is ...",,misinformation,China,13/1/18,14/1/18,0.3294706,283
FAKE NEWS: NATIONAL SECURITY IN THE POST-TRUTH ERA,https://www.rsis.edu.sg/wp-content/uploads/2018/01/PR180313_Fake-News_WEB.pdf,"Jan 15, 2018 ... In this era of fake news and misinformation ... “How China's Highly Censored WeChat and Weibo Fight Fake News ...And ... “Can the Law Stop Fake News and Hoax- ...",,misinformation,China,14/1/18,15/1/18,0.39873743,284
Legislating Fake News: Global Case Studies7 Legislative proposals,http://www.jstor.org/stable/resrep17646.5,"Jan 15, 2018 ... Several proposed legislation hold technology companies accountable for the dissemination of fake news, call for faster removal of offending content,. 7 See ...",,misinformation,China,14/1/18,15/1/18,0.40112367,285
Fake news: the global silencer: The term has become a useful ...,https://journals.sagepub.com/doi/pdf/10.1177/0306422018769578,"Jan 15, 2018 ... law. All three are planning to take measures to ... Over the past year, political leaders in. Burma, Cambodia, China, Egypt, France, ... “fake news”. The latest ...",,misinformation,China,14/1/18,15/1/18,0.35898018,286
FAKE NEWS: NATIONAL SECURITY IN THE POST-TRUTH ERA,https://www.rsis.edu.sg/wp-content/uploads/2018/01/PR180313_Fake-News_WEB.pdf,"Jan 15, 2018 ... In this era of fake news and misinformation ... “How China's Highly Censored WeChat and Weibo Fight Fake News ...And ... “Can the Law Stop Fake News and Hoax- ...",,misinformation,China,15/1/18,16/1/18,0.39873743,287
Legislating Fake News: Global Case Studies7 Legislative proposals,http://www.jstor.org/stable/resrep17646.5,"Jan 15, 2018 ... Several proposed legislation hold technology companies accountable for the dissemination of fake news, call for faster removal of offending content,. 7 See ...",,misinformation,China,15/1/18,16/1/18,0.40112367,288
Fake news: the global silencer: The term has become a useful ...,https://journals.sagepub.com/doi/pdf/10.1177/0306422018769578,"Jan 15, 2018 ... law. All three are planning to take measures to ... Over the past year, political leaders in. Burma, Cambodia, China, Egypt, France, ... “fake news”. The latest ...",,misinformation,China,15/1/18,16/1/18,0.35898018,289
How Sudden Censorship Can Increase Access to Information,https://hobbs.human.cornell.edu/selfiecensorship.pdf,"Jan 17, 2018 ... Right: Page views for Chinese language Wikipedia pages blocked in China. ... Private Truths, Public Lies: The ... In Routledge Handbook of Media Law, ed. Monroe E ...",,misinformation,China,16/1/18,17/1/18,0.32288656,290
How Sudden Censorship Can Increase Access to Information,https://hobbs.human.cornell.edu/selfiecensorship.pdf,"Jan 17, 2018 ... Right: Page views for Chinese language Wikipedia pages blocked in China. ... Private Truths, Public Lies: The ... In Routledge Handbook of Media Law, ed. Monroe E ...",,misinformation,China,17/1/18,18/1/18,0.32288656,291
REGULATING A REVOLUTION: FROM REGULATORY ...,https://news.law.fordham.edu/jcfl/wp-content/uploads/sites/5/2018/01/Zetzsche-et-al-Article.pdf,"Jan 18, 2018 ... China's need for regulatory sandboxes was limited, as China itself ... regulation. E ... regulatory sandboxes today demonstrate), its strength lies in the substance.",,misinformation,China,18/1/18,19/1/18,0.31539086,292
MIS 5208 - LE02 - Nature of Fraud,https://community.mis.temple.edu/mis5208sp18/files/2018/04/MIS-5208-LE02-Nature-of-Fraud.pdf,"Jan 23, 2018 ... • Is an illegal act or acts (intentional wrongdoing that violates a law or laws) ... The Wizard of Lies. “There are no investments,” he ... Chinese Fraud Statutes.",,misinformation,China,23/1/18,24/1/18,0.3962484,293
THE ART OF THE LIE | Common Cause Education Fund,https://www.commoncause.org/education-fund/wp-content/uploads/sites/30/2018/03/ArtoftheLie_Web.pdf,"Jan 27, 2018 ... Trump Lies, False and ... China for a property in New Jer- sey, but Jared ... Huma Abedin, shows his contempt for the rule of law and impartial law enforcement.",,misinformation,China,26/1/18,27/1/18,0.33143467,294
Attack on Academic Dishonesty: What 'Lies' Ahead?,https://files.eric.ed.gov/fulltext/EJ1155887.pdf,"Jan 26, 2018 ... Multiple studies report of cheating among students in var- ious countries, including but not limited to China (Ma et al. 2013), the Czech Republic (Preiss et al ...",,misinformation,China,26/1/18,27/1/18,0.45994818,295
THE ART OF THE LIE | Common Cause Education Fund,https://www.commoncause.org/education-fund/wp-content/uploads/sites/30/2018/03/ArtoftheLie_Web.pdf,"Jan 27, 2018 ... Trump Lies, False and ... China for a property in New Jer- sey, but Jared ... Huma Abedin, shows his contempt for the rule of law and impartial law enforcement.",,misinformation,China,27/1/18,28/1/18,0.33143467,296
1 THE EVOLUTION OF THE LAW AND POLICY ON TYING: A ...,https://law.fsu.edu/sites/g/files/upcbnu1581/files/Students/Journals_Teams/JTLP/2017_2018/jtlp27_2017_2018_1_Nazzini.pdf,"Jan 31, 2018 ... models lies in the implications for long-term dynamic efficiency. ... Thirdly, the law is not concerned with designing legal rules ... china-switch/. It also ...",,misinformation,China,31/1/18,1/2/18,0.3360329,297
FORUM Q&A: MARIA RESSA ON DIGITAL DISINFORMATION AND ...,https://www.ned.org/wp-content/uploads/2018/02/Maria-Ressa-on-Digital-Disinformation-and-Philippine-Democracy-in-the-Balance.pdf,"Feb 5, 2018 ... law regulating foreign ownership of mass media. ... In China, you're flooded with state messages but ... trust in traditional media has been eroded as ...",,misinformation,China,5/2/18,6/2/18,0.35806492,298
Architects of Networked Disinformation,https://newtontechfordev.com/wp-content/uploads/2018/02/ARCHITECTS-OF-NETWORKED-DISINFORMATION-FULL-REPORT.pdf,"Feb 10, 2018 ... Where do they draw the line in subcontracting digital influencers to enhance the image of corporate brands? We invite legal experts to weigh in on the ...",,misinformation,China,10/2/18,11/2/18,0.3757396,299
Just and Unjust Leaks: When to Spill Secrets,https://www.jstor.org/stable/44822080,"Feb 14, 2018 ... LIES AND DAMNED LIES. A quick word about ... China. That disclosure put Americans at risk, and ... law and with a similar willingness to accept legal punishment.",,misinformation,China,14/2/18,15/2/18,0.35191822,300
After Credibility: American Foreign Policy in the Trump Era,https://www.jstor.org/stable/44822015,"Feb 15, 2018 ... in order to avoid angering China, no U.S. president or president-elect ... that Iran was not abiding by the treaty, Trump also imperiled the ... with the daunting ...",,misinformation,China,15/2/18,16/2/18,0.3552782,301
"The Malicious Use of Artificial Intelligence: Forecasting, Prevention ...",https://arxiv.org/pdf/1802.07228,"Feb 20, 2018 ... spreading disinformation and impersonating others . ... “Of, for, and by the people: the legal lacuna of synthetic persons,” Artificial. Intelligence and Law, Vol ...",,misinformation,China,19/2/18,20/2/18,0.3514854,302
"The Malicious Use of Artificial Intelligence: Forecasting, Prevention ...",https://arxiv.org/pdf/1802.07228,"Feb 20, 2018 ... spreading disinformation and impersonating others . ... “Of, for, and by the people: the legal lacuna of synthetic persons,” Artificial. Intelligence and Law, Vol ...",,misinformation,China,20/2/18,21/2/18,0.3514854,303
COLLECTIVE REDRESS IN THE MEMBER STATES OF THE ...,https://www.europarl.europa.eu/RegData/etudes/STUD/2018/608829/IPOL_STU(2018)608829_EN.pdf,"Feb 28, 2018 ... the United States, Latin-America and China, the study suggests new mechanisms. ... consumer law, environmental law, competition law, antidiscrimination law, ...",,misinformation,China,27/2/18,28/2/18,0.32732043,304
COLLECTIVE REDRESS IN THE MEMBER STATES OF THE ...,https://www.europarl.europa.eu/RegData/etudes/STUD/2018/608829/IPOL_STU(2018)608829_EN.pdf,"Feb 28, 2018 ... the United States, Latin-America and China, the study suggests new mechanisms. ... consumer law, environmental law, competition law, antidiscrimination law, ...",,misinformation,China,28/2/18,1/3/18,0.32732043,305
Information Warfare: Issues for Congress,https://sgp.fas.org/crs/natsec/R45142.pdf,"Mar 5, 2018 ... On the defensive side, China employs a combination of legal policies and information technology for censorship and surveillance of dissenters in a program ...",,misinformation,China,4/3/18,5/3/18,0.40668035,306
Information Warfare: Issues for Congress,https://sgp.fas.org/crs/natsec/R45142.pdf,"Mar 5, 2018 ... On the defensive side, China employs a combination of legal policies and information technology for censorship and surveillance of dissenters in a program ...",,misinformation,China,5/3/18,6/3/18,0.40668035,307
COUNTERING FAKE NEWS,https://www.rsis.edu.sg/wp-content/uploads/2018/03/PR180307_Countering-Fake-News.pdf,"Mar 6, 2018 ... Going forward, a multi-pronged strategy that comprises both legislation and non-legislative measures — given that each have their challenges — would form a more ...",,misinformation,China,5/3/18,6/3/18,0.50967914,308
COUNTERING FAKE NEWS,https://www.rsis.edu.sg/wp-content/uploads/2018/03/PR180307_Countering-Fake-News.pdf,"Mar 6, 2018 ... Going forward, a multi-pronged strategy that comprises both legislation and non-legislative measures — given that each have their challenges — would form a more ...",,misinformation,China,6/3/18,7/3/18,0.50967914,309
Weaponising news,https://www.kcl.ac.uk/policy-institute/assets/weaponising-news.pdf,"Mar 10, 2018 ... 183 'China Tests Reusable Hypersonic Spacecraft ... fake news” and online disinformation in Europe', Reuters Institute ... well as media laws, legislation on Non- ...",,misinformation,China,9/3/18,10/3/18,0.30694562,310
Weaponising news,https://www.kcl.ac.uk/policy-institute/assets/weaponising-news.pdf,"Mar 10, 2018 ... 183 'China Tests Reusable Hypersonic Spacecraft ... fake news” and online disinformation in Europe', Reuters Institute ... well as media laws, legislation on Non- ...",,misinformation,China,10/3/18,11/3/18,0.30694562,311
How to Prevent Discriminatory Outcomes in Machine Learning,https://www3.weforum.org/docs/WEF_40065_White_Paper_How_to_Prevent_Discriminatory_Outcomes_in_Machine_Learning.pdf,"Mar 12, 2018 ... with national laws and regulations ... In the absence of adequate regulation, the burden lies with the ... 22 Julie Makinen, “China Prepares to Rank its Citizens on ...",,misinformation,China,11/3/18,12/3/18,0.32970318,312
